year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
1960,23110944515.00,11640430424.00,17646559124.00,1419169075.00,"",0.00
1961,21273672873.00,11860657638.00,17807066586.00,1451321234.00,"",""
1962,21646183991.00,12153576189.00,18033400214.00,1483492484.00,"",""
1963,22104689666.00,12498407997.00,18341103766.00,1517103848.00,"",""
1964,22566910271.00,12817224640.00,18681776342.00,1549219074.00,"",""
1965,23039926509.00,13104547501.00,19071426851.00,1581083263.00,"",0.00
1966,21376589810.00,13437309341.00,19431869511.00,1634467655.00,"",""
1967,21822505452.00,13717673145.00,19843415275.00,1687815582.00,"",""
1968,22274557499.00,13969237179.00,20297055151.00,1741145702.00,"",""
1969,22750193768.00,14225159551.00,20782727112.00,1795140695.00,"",""
1970,23230416546.00,14490184577.00,21272089500.00,1848059589.00,"",0.00
1971,23722597278.00,14786450983.00,19587480345.00,1912748760.00,"",""
1972,24211700569.00,15070614618.00,20015021215.00,1975037940.00,"",""
1973,24696835244.00,15342448143.00,20451039199.00,2035300562.00,"",""
1974,25185860209.00,15592210923.00,20908845961.00,2095555663.00,"",""
1975,25666465943.00,15806945282.00,21384585953.00,2155470884.00,"",0.00
1976,26138135881.00,16018539969.00,21840513859.00,2227451842.00,"",0.00
1977,26609387683.00,16197427922.00,22322888696.00,2299457203.00,"",0.00
1978,27089132253.00,16355224714.00,22837949264.00,2369935010.00,"",0.00
1979,27580520334.00,16504125779.00,23382889596.00,2435091754.00,"",0.00
1980,28077977101.00,16649446269.00,23947603953.00,2492387133.00,"",187856.00
1981,28587830194.00,16809382801.00,24515278030.00,2553316492.00,"",458428.00
1982,29115901865.00,16985259217.00,25107584094.00,2605246529.00,"",711250.00
1983,29649555541.00,17165020874.00,21359791568.00,2651881257.00,"",1029976.00
1984,30183125523.00,17340520363.00,21854177492.00,2699112911.00,"",2115796.00
1985,30727624562.00,17518762933.00,22355112009.00,2751601788.00,"",4858691.00
1986,31288749261.00,17765592283.00,20632406169.00,2819437840.00,"",9418361.00
1987,31864291483.00,18009948900.00,21056833743.00,2890466204.00,"",16545299.00
1988,32447281369.00,18250319950.00,21488991182.00,2964528630.00,"",28157244.00
1989,33032962217.00,18482029410.00,21926016502.00,3041658527.00,"",47666587.00
1990,33638541239.00,18708661300.00,22379775459.00,3123170555.00,"",73084922.00
1991,34217578608.00,18968419142.00,20610256532.00,3215252245.00,"",107003623.00
1992,34783004485.00,19171779878.00,20986044944.00,3311071582.00,"",154387259.00
1993,33189681149.00,19342060452.00,21384264168.00,3408344870.00,"",231136361.00
1994,33710132346.00,19493832807.00,21788925564.00,3502469668.00,"",383281343.00
1995,32064633119.00,19637625564.00,22205126745.00,3592863755.00,"",637503188.00
1996,30376432006.00,19721963319.00,22631253653.00,3699509800.00,"",1033198738.00
1997,30824559199.00,19824947065.00,23054135360.00,3798176044.00,"",1582266435.00
1998,31267555443.00,19920134205.00,23479985177.00,3892073962.00,1859688.00,2395396550.00
1999,31707951043.00,19975171413.00,23923734498.00,3987146913.00,7419759.00,3816067631.00
2000,32146731691.00,19980473326.00,24388361337.00,4085404817.00,79617459.00,5970406305.00
2001,32588998831.00,20008065459.00,24831535377.00,4198446272.00,225989880.00,8062057005.00
2002,33032858602.00,19991939026.00,25297607439.00,4313111480.00,437428306.00,10064565240.00
2003,33481997101.00,19951585974.00,25781611142.00,4427125695.00,727252556.00,12565403214.00
2004,33936754289.00,19920614428.00,26269344541.00,4534103091.00,1175418695.00,16136442324.00
2005,34396616742.00,19918551371.00,26751449934.00,4631614731.00,1680311327.00,18583201940.00
2006,34862193679.00,19972495275.00,27199985880.00,4737383094.00,2237697559.00,23727590983.00
2007,33171285831.00,20043727347.00,27648475876.00,4835574681.00,2836516410.00,22960516776.00
2008,31480419202.00,20137655568.00,28094622002.00,4932219434.00,3448590168.00,25171896020.00
2009,31935960705.00,20250201042.00,28531591692.00,5034096647.00,4036552812.00,28908111995.00
2010,32395045257.00,20377536965.00,28957413961.00,5146160420.00,4600020427.00,32964312800.00
2011,32848543819.00,20533368448.00,29350795382.00,5276113201.00,5265712256.00,30106740584.00
2012,33314856050.00,20701588530.00,29745315556.00,5415389670.00,5773214910.00,30116445520.00
2013,33794371851.00,20881027310.00,30139349226.00,5566565356.00,6202311036.00,29994055037.00
2014,34279928932.00,21061080570.00,30529501499.00,5734960901.00,6593871689.00,31666856051.00
2015,34768420517.00,21234224244.00,30914473001.00,5924211944.00,7775812433.00,32709136311.00
2016,35262326601.00,21415399498.00,31282991504.00,6144058311.00,8593157173.00,29397415861.00
